invoice_id,customer_id,customer_name,invoice_date,due_date,invoice_amount,currency
INV-2026-001,CUST-101,Acme Corporation,2026-08-01,2026-08-15,5000.00,USD
INV-2026-002,CUST-102,Beta Logistics LLC,2026-07-10,2026-07-25,1250.50,USD
INV-2026-003,CUST-103,Gamma Tech Pvt Ltd,2026-08-05,2026-08-20,3400.00,USD
INV-2026-004,CUST-104,Delta Enterprises,2026-08-02,2026-08-16,8900.00,USD
INV-2026-005,CUST-105,Epsilon Holdings,2026-07-15,2026-07-30,2100.75,EUR
INV-2026-006,CUST-106,Zeta Retail Systems,2026-08-10,2026-08-24,4500.00,USD
INV-2026-007,CUST-107,Eta Global Solutions,2026-08-01,2026-08-15,15000.00,USD
INV-2026-008,CUST-108,Theta Pharma Inc,2026-07-01,2026-07-15,6750.25,USD
INV-2026-009,CUST-109,Iota Creative Agency,2026-08-12,2026-08-26,950.00,USD
INV-2026-010,CUST-110,Kappa Energy Corp,2026-08-15,2026-08-29,12000.00,USD
INV-2026-011,CUST-111,Lambda Cloud Services,2026-08-05,2026-08-19,3100.00,USD
INV-2026-012,CUST-112,Mu BioTech Ltd,2026-07-20,2026-08-03,7800.00,EUR
INV-2026-013,CUST-113,Nu Security Group,2026-08-18,2026-09-01,4200.50,USD
INV-2026-014,CUST-114,Xi Data Dynamics,2026-08-01,2026-08-15,1850.00,USD
INV-2026-015,CUST-115,Omicron Heavy Tech,2026-06-01,2026-06-15,25000.00,USD
INV-2026-016,CUST-116,Pi Software Systems,2026-08-25,2026-09-10,6300.00,USD
INV-2026-017,CUST-117,Rho Consulting Group,2026-08-08,2026-08-22,2950.00,USD
INV-2026-018,CUST-118,Sigma Financials Inc,2026-07-05,2026-07-19,8400.00,USD
INV-2026-019,CUST-119,Tau Hardware Works,2026-08-14,2026-08-28,1100.00,EUR
INV-2026-020,CUST-120,Upsilon Media Network,2026-08-20,2026-09-03,5600.00,USD
