transaction_id,transaction_date,transaction_type,amount,currency,customer_name,reference,description
TXN-2026-001,2026-02-25,RTGS,45024.99,INR,Tata Consultancy Services Ltd,RTGS/INV-2026-001/REF39256,RTGS CR - Payment received from Tata Consultancy Services Ltd
TXN-2026-002,2026-01-24,NEFT,45676.02,INR,Infosys Technologies Ltd,NEFT/INV-2026-002/REF87397,NEFT CR - Payment received from Infosys Technologies Ltd
TXN-2026-003,2026-02-15,RTGS,25029.77,INR,Reliance Retail Ventures Ltd,RTGS/INV-2026-003/REF76237,RTGS CR - Payment received from Reliance Retail Ventures Ltd
TXN-2026-004,2026-02-27,IMPS,25560.68,INR,Wipro Digital Solutions,IMPS/INV-2026-004/REF38893,IMPS CR - Payment received from Wipro Digital Solutions
TXN-2026-005,2026-02-22,RTGS,185808.62,INR,Bharti Airtel Enterprise Services,RTGS/INV-2026-005/REF65392,RTGS CR - Payment received from Bharti Airtel Enterprise Services
TXN-2026-006,2026-03-04,NEFT,185808.62,INR,Bharti Airtel Enterprise Services,NEFT/DUP-PYMT/INV-2026-005/REF46421,NEFT DUP CR - Duplicate payment for INV-2026-005 from Bharti Airtel Enterprise Services
TXN-2026-007,2026-02-04,NEFT,120956.26,INR,HDFC Securities Ltd,NEFT/INV-2026-006/REF22156,NEFT CR - Payment received from HDFC Securities Ltd
TXN-2026-008,2026-02-21,ACH CREDIT,45358.62,INR,Tech Mahindra Global Services,ACH CREDIT/INV-2026-007/REF44671,ACH CREDIT CR - Payment received from Tech Mahindra Global Services
TXN-2026-009,2026-02-07,NEFT,480535.69,INR,Zomato Media Private Ltd,NEFT/INV-2026-008/REF82357,NEFT CR - Payment received from Zomato Media Private Ltd
TXN-2026-010,2026-03-01,NEFT,250576.77,INR,Swiggy Logistics India,NEFT/INV-2026-009/REF96673,NEFT CR - Payment received from Swiggy Logistics India
TXN-2026-011,2026-02-14,NEFT,185984.24,INR,Mahindra & Mahindra Financial,NEFT/INV-2026-010/REF59823,NEFT CR - Payment received from Mahindra & Mahindra Financial
TXN-2026-012,2026-03-01,RTGS,480635.05,INR,Paytm Payments Bank Corp,RTGS/INV-2026-011/REF58520,RTGS CR - Payment received from Paytm Payments Bank Corp
TXN-2026-013,2026-03-07,ACH CREDIT,120669.50,INR,Nykaa E-Commerce Retail,ACH CREDIT/INV-2026-012/REF93227,ACH CREDIT CR - Payment received from Nykaa E-Commerce Retail
TXN-2026-014,2026-02-21,IMPS,52728.40,INR,PolicyBazaar Web Aggregator,IMPS/INV-2026-013/REF59735,IMPS CR - Payment received from PolicyBazaar Web Aggregator
TXN-2026-015,2026-03-07,NEFT,52219.40,INR,Razorpay Software Private Ltd,NEFT/INV-2026-014/REF40021,NEFT CR - Payment received from Razorpay Software Private Ltd
TXN-2026-016,2026-02-26,RTGS,250400.76,INR,Zerodha Broking Ltd,RTGS/INV-2026-015/REF84341,RTGS CR - Payment received from Zerodha Broking Ltd
