transaction_id,invoice_id,match_type,payment_status,is_duplicate
TXN-101,INV-2026-001,exact,on_time,false
TXN-102,INV-2026-002,exact,late,false
TXN-103,INV-2026-003,partial,on_time,false
TXN-104,INV-2026-004,partial,on_time,false
TXN-105,INV-2026-005,partial,late,false
TXN-106,INV-2026-006,exact,on_time,false
TXN-107,INV-2026-006,duplicate,on_time,true
TXN-108,INV-2026-007,partial,on_time,false
TXN-109,INV-2026-008,exact,on_time,false
TXN-110,,unmatched,unpaid,false
TXN-111,INV-2026-010,mismatch,unpaid,false
TXN-112,INV-2026-011,partial,late,false
TXN-113,INV-2026-012,exact,on_time,false
TXN-114,INV-2026-013,partial,on_time,false
TXN-115,INV-2026-014,exact,on_time,false
TXN-116,,unmatched,unpaid,false
TXN-117,INV-2026-017,exact,on_time,false
TXN-118,INV-2026-018,partial,late,false
TXN-119,INV-2026-019,exact,on_time,false
TXN-120,INV-2026-019,duplicate,on_time,true
