transaction_id,transaction_date,description,customer_name,reference,amount,currency
TXN-101,2026-08-10,WIRE TRANSFER FROM ACME CORP INV-2026-001,Acme Corporation,INV-2026-001,5000.00,USD
TXN-102,2026-08-05,ACH PAYMENT BETA LOGISTICS INV-2026-002,Beta Logistics LLC,INV-2026-002,1250.50,USD
TXN-103,2026-08-18,INWARD REMITTANCE GAMMA TECH PVT LTD,GAMMA TECH PVT LTD,,3400.00,USD
TXN-104,2026-08-14,WIRE TRANS DELTA ENT INV-2026-004 LESS FEE,Delta Ent.,INV-2026-004,8890.00,USD
TXN-105,2026-08-05,SEPA TRANSFER EPSILON HOLDINGS GROUP INV2026005,Epsilon Holdings Group,INV2026005,2100.75,EUR
TXN-106,2026-08-20,DIRECT DEBIT ZETA RETAIL SYSTEMS INV-2026-006,Zeta Retail Systems,INV-2026-006,4500.00,USD
TXN-107,2026-08-22,DUPLICATE WIRE ZETA RETAIL SYSTEMS INV-2026-006,Zeta Retail Systems,INV-2026-006,4500.00,USD
TXN-108,2026-08-12,NEFT-ETA-SOLUTION-15000 REF PAYMENT,ETA GLOBAL SOLS,NEFT-ETA-SOLUTION-15000,15000.00,USD
TXN-109,2026-07-10,CHECK DEPOSIT THETA PHARMA INC INV-2026-008,Theta Pharma Inc,INV-2026-008,6750.25,USD
TXN-110,2026-08-15,ACH DIRECT DEBIT - VENDOR SUPPLIES UNKNOWN,Unknown Vendor,,480.00,USD
TXN-111,2026-08-25,PARTIAL MISMATCH REF INV-2026-010 XYZ GLOBAL,XYZ Global,INV-2026-010,150.00,USD
TXN-112,2026-08-25,WIRE PAYMENT LAMBDA CLOUD SERV INV-2026-011,LAMBDA CLOUD SERV,INV-2026-011,3100.00,USD
TXN-113,2026-07-28,SEPA CLEARING MU BIOTECH LTD INV-2026-012,Mu BioTech Ltd,INV-2026-012,7800.00,EUR
TXN-114,2026-08-30,ELECTRONIC PYMT NU SECURITY GRP INV/2026/013,Nu Security Grp,INV/2026/013,4200.50,USD
TXN-115,2026-08-10,ACH SETTLEMENT XI DATA DYNAMICS INV-2026-014,Xi Data Dynamics,INV-2026-014,1850.00,USD
TXN-116,2026-08-28,REFUND FROM UTILITY CO NON INVOICE,Utility Power Co,,320.00,EUR
TXN-117,2026-08-18,WIRE TRANSFER RHO CONSULTING GROUP INV-2026-017,Rho Consulting Group,INV-2026-017,2950.00,USD
TXN-118,2026-08-01,CHECK CLEARING SIGMA FIN INC INV-2026-018,Sigma Fin Inc,INV-2026-018,8400.00,USD
TXN-119,2026-08-25,SEPA TRANSFER TAU HARDWARE WORKS INV-2026-019,Tau Hardware Works,INV-2026-019,1100.00,EUR
TXN-120,2026-08-27,DUPLICATE SEPA TAU HARDWARE WORKS INV-2026-019,Tau Hardware Works,INV-2026-019,1100.00,EUR
